label,x,y,z
1,46.822,-84.614,23.907
3,-72.821,-60.566,-37.675
10,1.4439,68.216,7.1591
10,-4.7523,67.734,10.903
4,6.1234,-51.41,-43.431
7,95.589,4.3582,-28.626
6,24.756,-33.832,32.186
9,-24.298,-23.954,22.112
10,8.4943,74.368,7.6677
1,11.966,-34.052,55.864
9,-39.05,-39.037,45.198
6,22.627,-34.439,32.195
2,-94.302,13.261,30.042
3,-73.466,-44.977,-21.85
8,2.801,84.767,-32.301
6,12.854,-23.175,22.423
6,-1.2127,1.0939,29.756
10,4.3776,40.694,18.991
6,21.006,-4.8694,4.7306
2,-83.601,37.753,-10.881
2,-84.24,41.706,-16.139
2,-78.735,44.408,-23.419
2,-90.695,43.8,-7.2444
7,91.926,14.99,-1.9187
7,88.12,21.525,16.504
4,5.5968,-27.603,-30.599
2,-83.738,33.463,-9.0165
4,-10.967,-47.848,-32.041
8,-17.574,55.666,-35.455
4,8.3333,-57.087,-23.57
8,-24.003,55.501,-36.312
3,-69.239,-5.0201,-51.779
7,75.727,9.114,-17.077
9,-29.76,-34.459,16.054
2,-95.105,-5.5024,42.5
5,6.3631,37.159,39.559
2,-91.419,41.505,-10.544
2,-39.815,45.229,8.5031
1,65.969,-79.841,16.504
1,64.069,-71.886,30.304
7,83.451,-9.77,-44.28
4,3.771,-52.065,-42.907
7,93.709,7.0265,8.6269
9,-16.345,-23.469,-0.72683
8,5.6278,27.279,-62.644
10,-1.4349,-41.131,-28.393
8,-6.2026,74.363,-38.188
10,-6.5863,57.166,20.274
8,14.216,50.298,-60.668
3,-63.99,-16.137,-60.635
8,5.4644,43.4,-54.539
7,90.373,25.57,-1.9408
8,2.6867,46.417,-52.418
8,-4.8322,40.808,-47.129
4,25.12,-41.176,-29.058
6,12.479,-23.207,66.395
8,-23.227,55.786,-36.338
6,19.543,-33.406,57.466
10,-12.331,52.34,7.1754
2,-80.501,42.766,-19.383
10,11.358,98.979,12.568
8,-3.2409,84.511,-27.504
3,-59.133,-13.437,-57.05
7,86.728,-3.338,-42.053
5,-2.1421,87.347,38.718
2,-92.306,27.787,-0.24641
6,27.73,-34.457,19.341
10,5.2159,31.522,29.394
5,-6.3945,93.894,25.132
