label,x,y,z
10,13.452,-24.491,70.128
6,-15.387,-35.342,-33.754
6,-36.426,-64.577,-10.271
2,35.957,83.277,-17.786
9,20.512,-65.456,8.5115
5,2.8875,-2.0836,55.323
2,29.156,88.559,-15.686
9,25.476,-61.831,2.3729
8,46.756,-17.08,57.774
9,21.893,-39.624,-11.069
3,6.9232,20.761,-8.0931
7,-37.75,38.093,-61.141
7,-39.384,20.663,-79.528
2,49.035,72.811,-23.856
4,10.293,-31.764,-63.243
3,-7.3608,17.808,-7.3548
8,52.241,-30.312,55.366
3,3.9308,13.709,-7.0135
9,22.874,-57.043,-10.706
9,35.716,-48.016,-17.46
4,32.743,-51.722,-51.864
5,-8.9124,-18.566,61.919
7,-55.231,34.703,-70.447
9,18.123,-58.62,1.7315
7,-38.569,16.351,-87.841
6,-18.309,-59.735,-19.408
4,17.608,-53.389,-40.638
5,2.6083,6.348,58.693
8,42.593,-6.6612,43.812
9,34.002,-35.034,-12.344
8,54.594,-30.232,59.426
1,-92.562,8.3687,-8.1003
7,-31.819,20.013,-75.928
5,-14.184,37.121,65.483
5,-8.8315,19.446,60.902
2,65.062,55.683,-19.134
9,29.605,-59.231,1.9841
4,33.439,-50.41,-51.165
3,5.8699,22.035,-9.6223
4,10.411,-28.652,-59.621
4,14.759,-59.948,-48.149
6,-30.138,-60.319,-12.652
6,-19.345,-37.589,-14.254
4,15.954,-63.136,-42.992
4,11.732,-53.084,-57.371
6,-22.52,-44.397,-21.666
7,-49.511,40.382,-55.693
10,11.329,20.373,65.753
8,45.733,-8.5602,55.444
4,13.128,-59.985,-43.483
9,39.156,-26.059,-11.608
2,53.575,67.6,-12.597
1,-78.652,-12.246,-12.215
1,-72.42,-10.08,-22.501
2,23.998,95.827,-9.5533
4,6.3159,-72.804,-58.678
3,8.1335,21.067,-32.2
1,-99.423,0.18376,-6.2438
6,-14.518,24.168,8.2103
1,-80.005,1.3702,-20.508
2,70.142,47.8,-18.557
7,-33.816,20.155,-72.175
9,24.984,-49.871,-19.365
10,17.49,-9.313,68.054
6,23.2,-68.834,-51.494
10,-21.197,9.1654,68.668
6,-0.67374,-16.431,-48.997
6,-17.89,-60.116,-20.149
4,2.685,-74.17,-42.737
5,-8.807,21.879,67.901
5,-16.263,21.736,68.251
1,-93.293,-2.7265,-1.6762
9,27.031,-24.198,-28.185
1,9.0453,-39.664,-11.759
5,-17.563,28.913,70.612
9,17.517,-66.09,11.606
4,12.421,-23.308,-66.213
7,-41.886,20.471,-67.682
9,31.402,-50.205,-22.503
9,27.095,-43.105,-23.716
10,23.081,-20.553,61.825
2,49.577,77.628,-14.594
3,-22.636,16.694,5.9852
9,40.167,-33.265,-34.748
6,-32.387,-55.427,-4.5305
5,-5.1582,-16.376,54.18
7,-35.098,36.22,-70.052
9,-12.41,-18.982,63.408
6,-19.341,-39.977,-17.544
2,37.602,70.373,-15.423
5,-5.6338,-3.1773,64.092
5,-3.599,34.81,57.533
10,16.13,-4.676,68.287
7,-38.344,34.527,-71.645
7,-38.401,21.523,-67.222
8,62.45,-2.9234,62.183
4,9.2428,-45.88,-57.258
6,-29.951,-53.279,-13.624
6,-11.13,-24.129,-48.597
2,34.388,91.622,-14.811
6,-19.938,-47.175,-20.184
7,-33.265,17.836,-60.437
5,-26.295,5.4248,71.906
9,37.73,-31.743,-9.5603
8,40.108,85.786,-11.02
4,26.891,-36.189,-62.531
5,-3.9864,-7.6313,54.093
4,21.885,-27.367,-56.04
8,42.108,-27.898,63.831
8,64.656,-0.61204,64.304
5,-0.18571,-21.325,50.289
7,-44.872,21.742,-74.117
10,36.061,-16.325,52.439
8,49.428,-1.4946,51.146
8,57.871,-23.724,57.365
2,57.291,50.716,-20.656
4,11.311,-58.638,-61.275
6,4.581,-19.788,-41.745
5,-29.802,22.134,61.455
1,-92.016,-13.311,-5.2984
3,3.3744,35.719,-17.864
9,29.081,-53.604,-11.883
1,-89.589,-9.483,8.4402
9,24.756,-26.203,-30.424
1,-82.741,-18.494,7.0671
7,-26.316,13.4,-85.808
5,-6.8001,-26.293,60.17
3,8.0807,30.063,-4.6135
6,-18.57,-30.102,-34.349
2,16.467,101.68,-1.9366
7,-47.768,32.771,-69.289
6,-17.157,-31.49,-31.435
1,-80.012,-11.249,-14.577
1,-101.73,3.9537,9.5456
2,59.261,69.312,-17.709
1,-91.149,-9.3807,2.7665
5,-4.3567,-27.501,65.731
9,25.545,-62.006,13.083
7,-45.765,44.347,-62.95
6,-11.489,-36.219,-52.545
9,38.111,-46.132,2.9901
1,-85.92,-15.649,-12.782
10,5.723,-37.769,49.307
2,54.38,70.161,-9.1695
6,-16.294,-33.313,-29.96
2,63.856,41.835,-21.283
6,12.082,-22.001,-52.939
1,-90.944,1.1448,9.5099
8,55.3,-26.913,71.291
9,27.865,-45.77,-23.767
10,0.0068522,32.406,70.992
10,-5.6201,30.804,55.009
5,-23.125,26.596,63.766
3,-11.525,21.267,-3.0203
2,19.268,99.212,-3.0499
5,-4.4318,20.863,62.975
6,-33.538,-66.109,-13.554
8,56.025,6.6503,59.63
1,-92.359,17.342,3.8394
7,-35.001,12.958,-85.783
6,-32.154,-64.548,-7.5634
2,17.498,103.05,-5.0953
10,-90.619,13.34,-1.6394
6,-20.215,-36.155,-32.718
5,-8.3141,-2.4409,58.383
10,1.0315,18.578,79.371
7,-54.319,36.082,-66.988
5,-0.4144,5.9996,54.145
9,24.995,-53.574,-7.0295
6,-21.293,-38.964,-26.385
6,-48.756,41.353,-52.225
7,-41.959,30.451,-68.979
4,15.733,-9.4545,-58.92
3,15.106,18.16,-12.202
6,24.376,-37.368,-64.041
9,22.919,-64.517,1.7184
4,10.213,-23.412,-59.077
2,26.883,87.326,-6.9025
5,29.598,-25.811,54.454
3,7.4593,22.857,-7.5576
4,24.567,-69.433,-54.523
9,24.197,-23.107,-38.549
4,16.821,-61.738,-60.519
4,31.383,-10.924,-34.149
4,12.708,-23.69,-57.678
2,45.567,64.403,-11.973
3,-13.139,24.165,-10.691
1,-86.051,1.9227,-19.271
5,-17.943,6.9381,69.136
